Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.993073	0.0491488	0.177603	0.522568	0.0880225	1.39547	0.158654	175.092	0.622222	0.464815	0.462963	0.355556	0.45	0.361111	0.3	0.672222	0.233333	0.316667	0.511111	0.361111	0.344444	0.0166667
All	0.997475	0.0569928	0.192341	0.31897	0.434897	2.86704	0.931131	62.7879	0.709259	0.47037	0.427778	0.222222	0.427778	0.538889	0.227778	0.733333	0.255556	0.172222	0.666667	0.3	0.261111	0.0388889
All	0.990079	0.0574437	0.234667	0.425192	0.560566	2.10949	0.635651	92.1644	0.42037	0.244444	0.244444	0.255556	0.555556	0.216667	0.0166667	0.827778	0.15	0.0388889	0.833333	0.166667	0.0388889	0.127778
All	0.99388	0.0662094	0.612788	0.331522	0.315735	4.89952	0.87886	119.212	0.614815	0.498148	0.509259	0.394444	0.35	0.494444	0.377778	0.577778	0.35	0.366667	0.633333	0.333333	0.305556	0.0277778
All	0.990269	0.0116174	0.124856	0.234472	0.0930237	2.22992	0.0726943	60.3262	0.609259	0.392593	0.37037	0.338889	0.55	0.222222	0.255556	0.683333	0.238889	0.311111	0.661111	0.188889	0.127778	0.0611111
All	0.998332	0.0132526	0.0349945	0.326502	0.53061	4.8102	0.272514	107.575	0.568519	0.559259	0.605556	0.405556	0.444444	0.555556	0.366667	0.838889	0.122222	0.472222	0.694444	0.238889	0.211111	0.0277778
All	0.998068	0.0675148	0.149181	0.274393	0.661389	0.527411	0.0651435	112.44	0.646296	0.462963	0.481481	0.427778	0.361111	0.633333	0.305556	0.7	0.194444	0.288889	0.722222	0.255556	0.25	0.00555556
All	0.995405	0.0271833	0.246589	0.311825	0.490081	1.96532	0.769209	87.3217	0.494444	0.277778	0.337037	0.288889	0.427778	0.327778	0.222222	0.711111	0.255556	0.116667	0.744444	0.188889	0.00555556	0.183333
All	0.990337	0.0355547	0.494368	0.0453626	0.687412	4.76779	0.750506	156.33	0.596296	0.412963	0.396296	0.338889	0.505556	0.355556	0.294444	0.8	0.172222	0.294444	0.688889	0.233333	0.166667	0.0666667
All	0.991617	0.0142227	0.633791	0.619477	0.400072	0.199814	0.567218	113.467	0.453704	0.296296	0.324074	0.305556	0.561111	0.288889	0.255556	0.638889	0.311111	0.322222	0.688889	0.2	0.0944444	0.105556
All	0.991711	0.0113314	0.409332	0.227305	0.618152	2.28461	0.218658	145.819	0.62963	0.322222	0.351852	0.461111	0.566667	0.266667	0.183333	0.538889	0.405556	0.227778	0.711111	0.166667	0.138889	0.0277778
All	0.998054	0.0275727	0.518462	0.50683	0.255454	3.83146	0.320978	111.636	0.516667	0.585185	0.598148	0.5	0.305556	0.544444	0.461111	0.733333	0.183333	0.516667	0.727778	0.261111	0.183333	0.0777778
All	0.995455	0.0581806	0.432179	0.136607	0.424242	0.801689	0.20536	192.122	0.838889	0.611111	0.516667	0.588889	0.344444	0.572222	0.4	0.533333	0.45	0.388889	0.75	0.166667	0.155556	0.0111111
All	0.995291	0.0364506	0.0605992	0.341964	0.322357	2.80097	0.706664	111.326	0.644444	0.544444	0.514815	0.405556	0.622222	0.327778	0.466667	0.65	0.283333	0.411111	0.444444	0.322222	0.3	0.0222222
All	0.997955	0.0320721	0.356843	0.0121494	0.587163	1.89912	0.675606	139.538	0.987037	0.896296	0.866667	0.683333	0.0888889	0.911111	0.866667	0.833333	0.166667	0.816667	0.666667	0.333333	0.205556	0.127778
All	0.995511	0.0672832	0.204778	0.670472	0.501838	2.6951	0.527441	14.252	0.333333	0.305556	0.333333	0.122222	0.538889	0.261111	0.188889	0.722222	0.177778	0.15	0.722222	0.166667	0.0555556	0.111111
All	0.994146	0.0591019	0.275656	0.410588	0.18676	3.01967	0.0794556	131.412	0.596296	0.509259	0.494444	0.461111	0.45	0.388889	0.288889	0.65	0.255556	0.372222	0.427778	0.361111	0.355556	0.00555556
All	0.993445	0.0291641	0.609855	0.488485	0.125841	1.27857	0.836044	181.719	0.614815	0.424074	0.511111	0.338889	0.383333	0.422222	0.327778	0.522222	0.394444	0.338889	0.511111	0.377778	0.333333	0.0444444
All	0.996863	0.0691019	0.38658	0.132806	0.304506	2.27128	0.388003	21.4889	0.674074	0.5	0.518519	0.2	0.483333	0.427778	0.338889	0.544444	0.35	0.277778	0.777778	0.166667	0	0.166667
All	0.991271	0.0192633	0.601633	0.457091	0.621963	1.93381	0.22648	94.0521	0.511111	0.366667	0.414815	0.366667	0.4	0.35	0.222222	0.566667	0.316667	0.233333	0.655556	0.255556	0.205556	0.05
All	0.990868	0.0407017	0.654026	0.127885	0.394328	1.48953	0.456204	16.3145	0.531481	0.312963	0.340741	0.377778	0.611111	0.244444	0.194444	0.7	0.211111	0.15	0.783333	0.144444	0.0166667	0.127778
All	0.990545	0.056332	0.650318	0.271277	0.233545	4.74161	0.010458	66.4426	0.775926	0.561111	0.514815	0.477778	0.433333	0.372222	0.455556	0.583333	0.316667	0.355556	0.794444	0.161111	0.0944444	0.0666667
All	0.990749	0.0459096	0.419036	0.0375681	0.60071	0.321707	0.349912	64.0281	0.531481	0.338889	0.288889	0.338889	0.461111	0.294444	0.177778	0.55	0.35	0.305556	0.627778	0.194444	0.144444	0.05
All	0.992123	0.0452672	0.581916	0.707635	0.385544	0.39622	0.258958	192.958	0.572222	0.388889	0.392593	0.3	0.394444	0.366667	0.288889	0.6	0.277778	0.338889	0.716667	0.194444	0.172222	0.0222222
All	0.992281	0.0183695	0.289084	0.174958	0.669248	1.68349	0.981309	95.4063	0.459259	0.227778	0.283333	0.266667	0.55	0.188889	0.0277778	0.766667	0.166667	0.05	0.766667	0.166667	0	0.166667
All	0.990657	0.0254998	0.416035	0.510195	0.368344	0.897187	0.682195	77.9989	0.464815	0.288889	0.327778	0.311111	0.633333	0.25	0.188889	0.627778	0.272222	0.161111	0.777778	0.183333	0.116667	0.0666667
All	0.99394	0.0527283	0.718174	0.624288	0.678091	1.23116	0.762969	80.7171	0.427778	0.32037	0.383333	0.166667	0.505556	0.361111	0.166667	0.622222	0.333333	0.0888889	0.822222	0.172222	0.00555556	0.166667
All	0.995766	0.0327473	0.399376	0.586106	0.0338368	3.22151	0.29301	62.135	0.514815	0.427778	0.438889	0.288889	0.338889	0.472222	0.211111	0.622222	0.35	0.133333	0.811111	0.172222	0.00555556	0.166667
All	0.993362	0.0181276	0.0172818	0.322808	0.720251	1.37794	0.0932984	214.595	0.537037	0.437037	0.433333	0.394444	0.561111	0.277778	0.216667	0.722222	0.205556	0.261111	0.433333	0.377778	0.344444	0.0333333
All	0.993509	0.0174801	0.129571	0.10028	0.747664	4.44076	0.314982	109.301	0.55	0.472222	0.383333	0.244444	0.583333	0.3	0.205556	0.783333	0.216667	0.194444	0.716667	0.188889	0.161111	0.0277778
All	0.994935	0.0337028	0.7113	0.46495	0.141767	2.85225	0.326321	40.3305	0.466667	0.324074	0.37963	0.161111	0.488889	0.394444	0.0944444	0.616667	0.344444	0.0944444	0.805556	0.188889	0	0.188889
All	0.994721	0.0558134	0.525469	0.65406	0.424498	1.69407	0.642888	180.109	0.672222	0.592593	0.653704	0.35	0.338889	0.505556	0.461111	0.6	0.322222	0.4	0.522222	0.433333	0.372222	0.0611111
All	0.991486	0.0329839	0.299955	0.516908	0.481849	1.45981	0.960147	127.106	0.475926	0.344444	0.372222	0.344444	0.422222	0.35	0.25	0.616667	0.288889	0.288889	0.705556	0.194444	0.194444	0
All	0.998446	0.0651121	0.0759615	0.702905	0.250827	1.17874	0.71621	44.1605	0.344444	0.418519	0.303704	0.144444	0.433333	0.411111	0.188889	0.705556	0.211111	0.233333	0.777778	0.172222	0.0444444	0.127778
All	0.991324	0.0144777	0.113504	0.301047	0.0219793	0.246649	0.242322	98.7611	0.435185	0.32963	0.275926	0.327778	0.611111	0.227778	0.233333	0.733333	0.144444	0.283333	0.744444	0.1	0.0777778	0.0222222
All	0.998012	0.0376478	0.301927	0.593111	0.507695	3.70353	0.608408	141.454	0.446296	0.533333	0.677778	0.505556	0.277778	0.566667	0.477778	0.8	0.116667	0.461111	0.694444	0.277778	0.183333	0.0944444
All	0.997902	0.0257072	0.243607	0.346867	0.576298	3.66737	0.79176	146.287	0.62037	0.559259	0.603704	0.566667	0.322222	0.655556	0.5	0.822222	0.155556	0.511111	0.738889	0.25	0.238889	0.0111111
All	0.995908	0.0508945	0.161078	0.189849	0.189556	0.815837	0.798396	49.413	0.457407	0.5	0.47037	0.411111	0.611111	0.211111	0.161111	0.65	0.311111	0.155556	0.755556	0.211111	0.0111111	0.2
All	0.99043	0.0422771	0.0992154	0.01517	0.29348	1.53632	0.423319	175.783	0.533333	0.342593	0.32037	0.322222	0.522222	0.272222	0.238889	0.527778	0.227778	0.333333	0.533333	0.272222	0.255556	0.0166667
All	0.995355	0.0135854	0.695307	0.638242	0.522557	0.467505	0.172219	97.061	0.646296	0.559259	0.590741	0.216667	0.394444	0.516667	0.4	0.688889	0.227778	0.4	0.416667	0.411111	0.383333	0.0277778
All	0.996978	0.0606539	0.0500025	0.304617	0.701925	3.45908	0.43464	19.5615	0.381481	0.472222	0.381481	0.372222	0.438889	0.383333	0.255556	0.783333	0.166667	0.177778	0.738889	0.188889	0.0111111	0.177778
All	0.992814	0.0352458	0.588527	0.285077	0.218185	2.16338	0.339432	116.791	0.637037	0.405556	0.496296	0.461111	0.516667	0.366667	0.266667	0.5	0.427778	0.255556	0.683333	0.261111	0.238889	0.0222222
All	0.994616	0.0321241	0.499121	0.434516	0.597943	2.58001	0.679803	38.8324	0.461111	0.298148	0.37963	0.283333	0.577778	0.294444	0.133333	0.661111	0.3	0.0722222	0.8	0.177778	0.0166667	0.161111
All	0.994003	0.0105747	0.438062	0.534862	0.204161	3.25293	0.907551	190.939	0.638889	0.518519	0.607407	0.383333	0.305556	0.461111	0.366667	0.483333	0.394444	0.433333	0.522222	0.322222	0.294444	0.0277778
All	0.990936	0.0465242	0.537611	0.429912	0.318877	3.5413	0.845619	167.119	0.505556	0.348148	0.412963	0.316667	0.511111	0.316667	0.188889	0.661111	0.272222	0.283333	0.672222	0.25	0.211111	0.0388889
All	0.993826	0.0395782	0.200039	0.213614	0.0668296	3.16929	0.408961	88.1015	0.511111	0.246296	0.287037	0.316667	0.555556	0.211111	0.0611111	0.677778	0.166667	0.1	0.744444	0.222222	0	0.222222
All	0.990172	0.0489186	0.461973	0.474304	0.260118	4.48225	0.0224888	160.94	0.457407	0.32037	0.401852	0.311111	0.538889	0.294444	0.2	0.633333	0.227778	0.283333	0.744444	0.172222	0.144444	0.0277778
All	0.992996	0.0379952	0.616756	0.619851	0.590147	1.25592	0.471209	75.451	0.514815	0.4	0.47037	0.322222	0.366667	0.377778	0.294444	0.544444	0.372222	0.35	0.733333	0.161111	0.0833333	0.0777778
All	0.990491	0.0438117	0.0150826	0.110553	0.695423	4.63096	0.916243	195.001	0.4	0.3	0.381481	0.25	0.683333	0.216667	0.188889	0.744444	0.155556	0.211111	0.711111	0.155556	0.144444	0.0111111
All	0.995244	0.0486433	0.630525	0.292714	0.329399	0.831933	0.636462	152.416	0.638889	0.568519	0.524074	0.461111	0.455556	0.438889	0.377778	0.583333	0.383333	0.305556	0.616667	0.344444	0.311111	0.0333333
All	0.993899	0.0222516	0.165161	0.122316	0.128495	0.352043	0.915998	129.388	0.490741	0.337037	0.318519	0.305556	0.466667	0.366667	0.277778	0.783333	0.183333	0.216667	0.738889	0.166667	0.144444	0.0222222
All	0.995832	0.0209244	0.46442	0.675795	0.16729	4.75072	0.170357	27.013	0.485185	0.388889	0.435185	0.311111	0.411111	0.416667	0.405556	0.622222	0.311111	0.194444	0.727778	0.211111	0.0111111	0.2
All	0.998621	0.0248122	0.0575094	0.172481	0.363969	2.04643	0.667148	159.149	0.831481	0.618519	0.598148	0.511111	0.327778	0.666667	0.494444	0.716667	0.277778	0.455556	0.777778	0.205556	0.133333	0.0722222
All	0.99019	0.0108895	0.678088	0.684666	0.0537717	0.930785	0.0288862	133.551	0.524074	0.364815	0.35	0.3	0.488889	0.3	0.227778	0.533333	0.327778	0.311111	0.677778	0.194444	0.166667	0.0277778
All	0.992964	0.0237791	0.330542	0.182004	0.554093	2.44424	0.184963	155.588	0.685185	0.355556	0.466667	0.488889	0.527778	0.333333	0.166667	0.677778	0.316667	0.205556	0.705556	0.172222	0.161111	0.0111111
All	0.997155	0.0619526	0.619164	0.611483	0.194829	2.31375	0.655846	188.129	0.698148	0.635185	0.648148	0.472222	0.388889	0.511111	0.627778	0.522222	0.383333	0.594444	0.655556	0.322222	0.227778	0.0944444
All	0.997712	0.0621417	0.0218573	0.486063	0.499168	0.282854	0.723027	147.022	0.55	0.47037	0.409259	0.144444	0.377778	0.594444	0.255556	0.755556	0.155556	0.238889	0.644444	0.277778	0.261111	0.0166667
All	0.990762	0.020219	0.308985	0.537817	0.496039	3.57242	0.447617	170.524	0.461111	0.351852	0.424074	0.377778	0.588889	0.255556	0.227778	0.622222	0.316667	0.283333	0.727778	0.194444	0.166667	0.0277778
