Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.999008	0.0139257	0.0395938	0.00363678	0.517041	3.68527	0.772969	210.497	0.259259	0.303704	0.318519	0.283333	0.488889	0.211111	0.266667	0.455556	0.388889	0.294444	0.566667	0.238889	0.111111	0.127778
All	0.999382	0.0383066	0.309368	0.0201941	0.662706	0.354266	0.663516	211.338	0.455556	0.361111	0.348148	0.244444	0.566667	0.233333	0.355556	0.766667	0.194444	0.355556	0.755556	0.122222	0.05	0.0722222
All	0.999092	0.0559932	0.0556899	0.0172245	0.0838135	2.44028	0.499054	207.936	0.292593	0.368519	0.32963	0.288889	0.522222	0.183333	0.3	0.533333	0.333333	0.35	0.622222	0.155556	0.0444444	0.111111
All	0.999864	0.10407	0.42084	0.167706	0.794344	2.19158	0.355808	209.379	0.772222	0.714815	0.487037	0.25	0.6	0.338889	0.538889	0.588889	0.4	0.683333	0.683333	0.272222	0.194444	0.0777778
All	0.99954	0.0657938	0.0359633	0.0112983	0.889632	4.17432	0.626019	214.215	0.698148	0.568519	0.535185	0.25	0.688889	0.272222	0.644444	0.711111	0.261111	0.533333	0.738889	0.177778	0.116667	0.0611111
All	0.99939	0.0626645	0.178398	0.051523	0.935834	0.431517	0.557542	208.754	0.474074	0.4	0.4	0.277778	0.561111	0.194444	0.388889	0.788889	0.177778	0.372222	0.75	0.0722222	0.0166667	0.0555556
All	0.999829	0.0571716	0.483526	0.167017	0.181529	3.28067	0.137539	207.843	0.846296	0.72963	0.407407	0.205556	0.483333	0.361111	0.511111	0.533333	0.444444	0.627778	0.722222	0.238889	0.105556	0.133333
All	0.999603	0.100837	0.454493	0.0796492	0.0411276	2.65283	0.907032	211.839	0.733333	0.635185	0.487037	0.333333	0.522222	0.377778	0.311111	0.688889	0.272222	0.477778	0.655556	0.277778	0.155556	0.122222
All	0.999355	0.116403	0.586947	0.229328	0.425235	1.61445	0.586093	209.909	0.52963	0.392593	0.377778	0.283333	0.544444	0.288889	0.294444	0.811111	0.155556	0.327778	0.866667	0.0888889	0.0333333	0.0555556
All	0.999817	0.121493	0.505808	0.0408577	0.982477	4.17907	0.437741	206.469	0.925926	0.781481	0.55	0.205556	0.738889	0.222222	0.605556	0.583333	0.355556	0.838889	0.688889	0.283333	0.238889	0.0444444
All	0.999044	0.0843039	0.59674	0.186454	0.0795283	1.19696	0.199671	202.549	0.366667	0.338889	0.333333	0.194444	0.588889	0.216667	0.216667	0.694444	0.227778	0.261111	0.788889	0.15	0.0555556	0.0944444
All	0.999523	0.18555	0.521868	0.237897	0.95796	0.140191	0.412278	200.995	0.42963	0.372222	0.331481	0.3	0.494444	0.272222	0.305556	0.655556	0.3	0.361111	0.761111	0.177778	0.0722222	0.105556
All	0.999095	0.0530266	0.29713	0.0540764	0.63799	0.0680821	0.0684727	207.829	0.374074	0.346296	0.337037	0.338889	0.472222	0.3	0.316667	0.638889	0.3	0.372222	0.655556	0.311111	0.122222	0.188889
All	0.999673	0.0431695	0.0640309	0.0266035	0.846958	2.06704	0.738468	214.113	0.755556	0.648148	0.514815	0.255556	0.588889	0.344444	0.661111	0.638889	0.266667	0.744444	0.827778	0.15	0.105556	0.0444444
All	0.99945	0.132468	0.523572	0.0922469	0.514132	3.05914	0.21321	206.226	0.644444	0.5	0.401852	0.322222	0.566667	0.294444	0.272222	0.705556	0.244444	0.388889	0.744444	0.2	0.0944444	0.105556
All	0.999335	0.0366379	0.574606	0.0969975	0.642053	2.59836	0.99357	210.023	0.568519	0.444444	0.368519	0.261111	0.566667	0.261111	0.216667	0.705556	0.238889	0.305556	0.716667	0.244444	0.0833333	0.161111
All	0.999415	0.105113	0.267019	0.0944797	0.186995	1.25945	0.852866	211.47	0.577778	0.52963	0.403704	0.3	0.572222	0.25	0.333333	0.827778	0.15	0.288889	0.883333	0.0555556	0.0444444	0.0111111
All	0.999063	0.121207	0.0150156	0.00694179	0.776734	4.55489	0.599571	204.463	0.437037	0.388889	0.312963	0.255556	0.755556	0.2	0.388889	0.655556	0.272222	0.272222	0.772222	0.1	0.0611111	0.0388889
All	0.999898	0.125147	0.152993	0.00341455	0.286076	1.7982	0.258284	215.602	0.903704	0.811111	0.477778	0.194444	0.672222	0.216667	0.633333	0.65	0.311111	0.777778	0.85	0.116667	0.0888889	0.0277778
All	0.999697	0.180355	0.508298	0.161173	0.830021	3.34387	0.465963	212.007	0.727778	0.690741	0.487037	0.255556	0.533333	0.327778	0.283333	0.638889	0.344444	0.527778	0.616667	0.305556	0.205556	0.1
All	0.999528	0.161621	0.0890108	0.0403322	0.13756	3.35354	0.914899	202.471	0.509259	0.585185	0.455556	0.194444	0.633333	0.305556	0.516667	0.677778	0.311111	0.333333	0.738889	0.211111	0.1	0.111111
All	0.999345	0.0948442	0.412679	0.0737219	0.567765	3.07994	0.217506	210.564	0.585185	0.446296	0.418519	0.344444	0.5	0.294444	0.25	0.794444	0.161111	0.305556	0.822222	0.161111	0.116667	0.0444444
All	0.999616	0.00376017	0.386363	0.102429	0.995645	3.19389	0.780326	215.68	0.72037	0.62963	0.505556	0.316667	0.572222	0.316667	0.3	0.661111	0.322222	0.516667	0.688889	0.255556	0.144444	0.111111
All	0.999803	0.0182316	0.46753	0.191231	0.386854	4.75004	0.373315	210.761	0.842593	0.696296	0.398148	0.216667	0.538889	0.316667	0.505556	0.583333	0.388889	0.616667	0.65	0.266667	0.127778	0.138889
All	0.999808	0.124263	0.452697	0.198736	0.971369	1.49713	0.0634548	215.343	0.816667	0.688889	0.374074	0.166667	0.577778	0.255556	0.366667	0.55	0.411111	0.644444	0.7	0.238889	0.155556	0.0833333
All	0.99917	0.115148	0.420253	0.00566914	0.88056	4.44426	0.733939	213.101	0.459259	0.372222	0.337037	0.222222	0.622222	0.2	0.3	0.705556	0.238889	0.266667	0.838889	0.111111	0.05	0.0611111
All	0.999665	0.171425	0.082046	0.00998771	0.296543	2.85963	0.283876	204.346	0.803704	0.637037	0.559259	0.3	0.616667	0.272222	0.6	0.611111	0.327778	0.738889	0.822222	0.161111	0.116667	0.0444444
All	0.99934	0.131921	0.108185	0.0477447	0.322262	4.0866	0.147505	212.856	0.466667	0.451852	0.388889	0.266667	0.694444	0.183333	0.355556	0.8	0.194444	0.372222	0.8	0.0722222	0.0277778	0.0444444
All	0.999519	0.131314	0.590711	0.166337	0.58373	3.43089	0.16542	201.934	0.707407	0.544444	0.409259	0.272222	0.55	0.288889	0.238889	0.711111	0.288889	0.444444	0.711111	0.25	0.111111	0.138889
All	0.999766	0.0527208	0.00726819	0.00243104	0.625702	4.0171	0.964051	203.923	0.887037	0.677778	0.52963	0.211111	0.611111	0.294444	0.611111	0.577778	0.338889	0.75	0.783333	0.183333	0.183333	0
All	0.999024	0.0224255	0.383116	0.147701	0.685069	3.79051	0.820732	200.212	0.364815	0.372222	0.309259	0.15	0.583333	0.177778	0.277778	0.633333	0.222222	0.327778	0.738889	0.122222	0.0333333	0.0888889
All	0.999029	0.0728888	0.322156	0.109305	0.0325587	1.27908	0.112205	209.695	0.381481	0.381481	0.314815	0.2	0.538889	0.194444	0.244444	0.527778	0.3	0.35	0.661111	0.166667	0.0277778	0.138889
All	0.999892	0.166018	0.125537	0.000482936	0.962986	2.81287	0.690154	206.902	0.888889	0.792593	0.483333	0.177778	0.694444	0.222222	0.694444	0.627778	0.316667	0.783333	0.85	0.133333	0.111111	0.0222222
All	0.999593	0.158667	0.301949	0.071964	0.796997	1.81941	0.431884	206.747	0.707407	0.635185	0.496296	0.3	0.555556	0.327778	0.316667	0.666667	0.322222	0.45	0.705556	0.211111	0.138889	0.0722222
All	0.999774	0.0511143	0.537546	0.141261	0.648053	3.20159	0.442358	200.548	0.837037	0.733333	0.466667	0.216667	0.5	0.35	0.394444	0.555556	0.411111	0.616667	0.611111	0.333333	0.272222	0.0611111
All	0.999608	0.175211	0.465091	0.0134102	0.870879	1.31357	0.986745	202.616	0.794444	0.675926	0.544444	0.327778	0.616667	0.283333	0.372222	0.622222	0.305556	0.561111	0.627778	0.311111	0.205556	0.105556
All	0.999719	0.0821334	0.240994	0.0885864	0.753253	1.42234	0.672928	206.299	0.818519	0.674074	0.475926	0.294444	0.555556	0.366667	0.405556	0.572222	0.383333	0.705556	0.672222	0.233333	0.15	0.0833333
All	0.999206	0.00698158	0.0301455	0.00271229	0.196682	1.00145	0.384195	202.119	0.464815	0.433333	0.348148	0.311111	0.65	0.211111	0.322222	0.561111	0.383333	0.333333	0.638889	0.138889	0.0277778	0.111111
All	0.999368	0.0991267	0.353178	0.134827	0.541791	0.222637	0.349087	204.509	0.422222	0.368519	0.305556	0.283333	0.455556	0.25	0.3	0.661111	0.311111	0.327778	0.761111	0.183333	0.0777778	0.105556
All	0.999362	0.0787841	0.320349	0.0910825	0.867307	0.622082	0.917492	214.803	0.555556	0.387037	0.348148	0.294444	0.533333	0.222222	0.333333	0.772222	0.172222	0.383333	0.777778	0.116667	0.0611111	0.0555556
All	0.999658	0.182246	0.379585	0.181368	0.291837	4.13118	0.897241	200.111	0.725926	0.664815	0.442593	0.266667	0.477778	0.327778	0.261111	0.644444	0.333333	0.538889	0.588889	0.3	0.183333	0.116667
All	0.999493	0.0102136	0.357079	0.0842423	0.13487	2.24247	0.0160946	215.047	0.62037	0.559259	0.431481	0.305556	0.566667	0.316667	0.3	0.705556	0.261111	0.416667	0.777778	0.161111	0.0944444	0.0666667
All	0.99951	0.0922575	0.234063	0.0595647	0.839732	2.41733	0.464576	207.703	0.574074	0.525926	0.461111	0.283333	0.627778	0.311111	0.327778	0.805556	0.183333	0.322222	0.727778	0.155556	0.116667	0.0388889
All	0.999813	0.109022	0.0525712	0.0123264	0.213966	1.44557	0.0585382	211.717	0.881481	0.674074	0.511111	0.177778	0.672222	0.272222	0.511111	0.572222	0.35	0.788889	0.8	0.172222	0.166667	0.00555556
All	0.999213	0.0333738	0.409644	0.183241	0.772378	1.66272	0.12007	213.645	0.433333	0.375926	0.368519	0.2	0.55	0.227778	0.277778	0.8	0.15	0.3	0.788889	0.0944444	0.0333333	0.0611111
All	0.99965	0.045579	0.530323	0.146571	0.00449029	3.65316	0.582212	200.388	0.744444	0.631481	0.431481	0.272222	0.516667	0.361111	0.2	0.622222	0.361111	0.533333	0.605556	0.305556	0.161111	0.144444
All	0.99911	0.0876439	0.458203	0.113998	0.201606	1.94353	0.125347	200.475	0.377778	0.362963	0.32037	0.205556	0.605556	0.222222	0.294444	0.727778	0.188889	0.288889	0.772222	0.138889	0.0388889	0.1
All	0.999175	0.0810323	0.469554	0.158109	0.463156	1.73998	0.92134	210.253	0.374074	0.388889	0.348148	0.227778	0.538889	0.255556	0.222222	0.805556	0.144444	0.305556	0.827778	0.111111	0.0388889	0.0722222
All	0.999655	0.192205	0.0039268	0.000899084	0.824993	0.699296	0.795229	211.073	0.77963	0.618519	0.516667	0.25	0.627778	0.283333	0.572222	0.605556	0.294444	0.65	0.805556	0.166667	0.122222	0.0444444
All	0.999429	0.14723	0.544074	0.0381248	0.248609	3.55213	0.801299	201.046	0.657407	0.531481	0.4	0.4	0.522222	0.338889	0.277778	0.7	0.25	0.333333	0.694444	0.255556	0.144444	0.111111
All	0.99919	0.0415503	0.234901	0.0331568	0.036988	4.69251	0.387846	215.517	0.425926	0.422222	0.309259	0.227778	0.622222	0.166667	0.25	0.822222	0.127778	0.372222	0.766667	0.0388889	0.0166667	0.0222222
All	0.999249	0.162867	0.121064	0.0071766	0.911447	4.64969	0.31282	200.819	0.433333	0.475926	0.362963	0.377778	0.572222	0.227778	0.277778	0.805556	0.183333	0.377778	0.744444	0.0388889	0.0166667	0.0222222
All	0.999877	0.0973081	0.298019	0.0585899	0.69639	2.5046	0.757658	211.249	0.888889	0.787037	0.47037	0.2	0.583333	0.361111	0.655556	0.65	0.333333	0.8	0.827778	0.161111	0.15	0.0111111
All	0.999537	0.0478864	0.542866	0.0392708	0.230008	3.31985	0.85673	215.235	0.733333	0.612963	0.444444	0.35	0.538889	0.361111	0.283333	0.666667	0.3	0.372222	0.616667	0.294444	0.177778	0.116667
All	0.999758	0.0212209	0.342924	0.139709	0.272087	0.837532	0.505428	208.231	0.814815	0.644444	0.4	0.222222	0.55	0.322222	0.366667	0.55	0.394444	0.6	0.644444	0.255556	0.177778	0.0777778
All	0.999326	0.092611	0.583302	0.169928	0.0216526	0.0898899	0.864271	210.907	0.398148	0.388889	0.390741	0.355556	0.488889	0.3	0.272222	0.577778	0.355556	0.377778	0.666667	0.305556	0.127778	0.177778
All	0.999103	0.0720107	0.405696	0.138587	0.988163	2.94406	0.251324	201.257	0.37037	0.359259	0.316667	0.211111	0.516667	0.233333	0.338889	0.655556	0.2	0.316667	0.805556	0.0777778	0.0222222	0.0555556
All	0.999589	0.0167436	0.360415	0.128562	0.720316	2.2156	0.405335	202.843	0.709259	0.596296	0.42963	0.316667	0.527778	0.288889	0.272222	0.655556	0.327778	0.488889	0.711111	0.25	0.188889	0.0611111
All	0.999629	0.107108	0.0912216	0.00882847	0.017734	4.48964	0.133591	208.69	0.801852	0.651852	0.568519	0.238889	0.544444	0.344444	0.655556	0.572222	0.383333	0.627778	0.827778	0.138889	0.1	0.0388889
All	0.999294	0.0262427	0.0694642	0.0287434	0.675133	2.263	0.248673	211.633	0.438889	0.474074	0.372222	0.255556	0.683333	0.194444	0.288889	0.777778	0.222222	0.283333	0.788889	0.105556	0.0277778	0.0777778
All	0.999288	0.014093	0.495459	0.229713	0.905992	0.299521	0.679737	213.203	0.407407	0.366667	0.32037	0.294444	0.472222	0.25	0.288889	0.705556	0.238889	0.3	0.811111	0.133333	0.0388889	0.0944444
All	0.999472	0.0905857	0.129106	0.0521214	0.0680789	3.59634	0.576821	201.297	0.466667	0.516667	0.385185	0.222222	0.561111	0.311111	0.355556	0.677778	0.266667	0.333333	0.727778	0.161111	0.111111	0.05
All	0.999737	0.189789	0.0450719	0.0133622	0.525566	1.03024	0.341757	214.241	0.859259	0.701852	0.624074	0.211111	0.588889	0.355556	0.544444	0.477778	0.455556	0.716667	0.794444	0.183333	0.161111	0.0222222
All	0.999506	0.147945	0.449252	0.12372	0.161522	2.14576	0.901287	207.518	0.662963	0.535185	0.427778	0.338889	0.5	0.305556	0.294444	0.722222	0.25	0.394444	0.705556	0.244444	0.133333	0.111111
All	0.999581	0.17982	0.294132	0.0635387	0.952612	1.62608	0.607704	204.32	0.696296	0.596296	0.453704	0.338889	0.555556	0.35	0.361111	0.661111	0.316667	0.366667	0.688889	0.194444	0.122222	0.0722222
All	0.999073	0.13812	0.431534	0.148085	0.728538	1.69035	0.0486282	206.097	0.361111	0.375926	0.327778	0.188889	0.55	0.216667	0.25	0.7	0.227778	0.288889	0.788889	0.122222	0.0666667	0.0555556
All	0.999692	0.0875571	0.0500729	0.0133654	0.26296	0.488402	0.893994	203.106	0.748148	0.661111	0.516667	0.227778	0.722222	0.222222	0.577778	0.538889	0.405556	0.683333	0.766667	0.155556	0.111111	0.0444444
All	0.999833	0.156117	0.0262365	0.0063755	0.466203	3.88798	0.106475	207.336	0.874074	0.794444	0.512963	0.172222	0.605556	0.3	0.588889	0.611111	0.35	0.788889	0.8	0.177778	0.177778	0
