printer	0,999805	3	0,000426	0,149039	0,014562	0,000438	0,012148	0,000299	0,024785	0,000465	0,101222	0,000207	0,023845	0,113301	0,124215	0,000604	0,093722	0,035847	0,141114	0,023677	0,125181	0,000417	0,111342	0,000572	0,033437	0,000221	0,138294	0,000417	0,023148	0,137540	0,149642	0,008007	0,073224	0,000554	0,000258	0,035602	0,000586	0,000319	0,107777	0,018584	0,136345	0,023147	0,200073	0,000233	0,000116	0,218451	0,000233	0,000233	0,000116	0,160673	0,146241	0,055834	0,055834	0,189588	0,042800	0,153137	0,132399	0,000233	0,055834	0,015583	0,000349	0,000582	0,148651	0,078515	0,169389	0,000349	0,000466	
mouse	0,995367	8	0,024841	0,144649	0,037868	0,025505	0,034051	0,017402	0,044670	0,034378	0,097014	0,012088	0,049994	0,111217	0,126936	0,035202	0,092032	0,066033	0,133308	0,041534	0,119198	0,024309	0,113333	0,033342	0,064302	0,012885	0,135081	0,024309	0,050939	0,133784	0,141419	0,022988	0,079563	0,032280	0,015011	0,060705	0,034139	0,018597	0,107028	0,047610	0,129195	0,049638	0,189793	0,013580	0,006790	0,210183	0,013580	0,013580	0,006790	0,152722	0,138711	0,068396	0,068396	0,182161	0,072307	0,145950	0,122816	0,013580	0,068396	0,045334	0,020371	0,033951	0,142871	0,090874	0,166005	0,020371	0,027161	
notebook	0,996132	9	0,024668	0,144312	0,036966	0,025327	0,033148	0,017281	0,043068	0,033491	0,091279	0,012004	0,055667	0,111811	0,126043	0,034957	0,093634	0,069498	0,135031	0,040009	0,120913	0,024140	0,114199	0,033110	0,061302	0,012796	0,133515	0,024140	0,049374	0,133012	0,141483	0,022308	0,075584	0,032055	0,014906	0,064405	0,033902	0,018468	0,100168	0,046064	0,128030	0,047294	0,189033	0,013486	0,006743	0,208073	0,013486	0,013486	0,006743	0,150509	0,129637	0,073062	0,073062	0,181529	0,077893	0,144387	0,124163	0,013486	0,073062	0,044006	0,020229	0,041316	0,142899	0,085783	0,163122	0,020229	0,026972	
mouse	0,994559	10	0,024793	0,144280	0,036585	0,025456	0,032724	0,017368	0,042138	0,040318	0,087242	0,012065	0,054218	0,113071	0,129408	0,035134	0,089322	0,075683	0,128726	0,039112	0,115068	0,024262	0,118577	0,033278	0,068686	0,012860	0,136925	0,024262	0,048548	0,136348	0,140770	0,021958	0,072921	0,032217	0,014982	0,069645	0,034073	0,018561	0,101867	0,045217	0,128505	0,045756	0,190584	0,013554	0,006777	0,208644	0,013554	0,013554	0,006777	0,150311	0,123083	0,078066	0,078066	0,183108	0,083782	0,144693	0,126828	0,013554	0,078066	0,043329	0,020331	0,048347	0,144610	0,082253	0,162475	0,020331	0,027109	
speaker	0,995755	11	0,024551	0,143293	0,035678	0,025208	0,031832	0,017199	0,040615	0,038699	0,088686	0,011947	0,052012	0,112048	0,128397	0,034792	0,090314	0,071321	0,129911	0,037665	0,115556	0,024026	0,116992	0,032954	0,064952	0,012735	0,135317	0,024026	0,047031	0,134456	0,139215	0,021295	0,076069	0,031903	0,014836	0,065410	0,033742	0,018381	0,101337	0,043729	0,126873	0,050035	0,186404	0,013422	0,006711	0,204535	0,013422	0,013422	0,006711	0,148993	0,122631	0,080297	0,073849	0,180356	0,084802	0,141370	0,124078	0,013422	0,081587	0,042034	0,020133	0,052988	0,143248	0,086636	0,161830	0,020133	0,035872	
keyboard	0,994425	12	0,024725	0,145592	0,035485	0,025386	0,031593	0,017320	0,048285	0,037981	0,085234	0,012032	0,058830	0,115157	0,122511	0,035037	0,095790	0,068895	0,124587	0,045087	0,118330	0,024196	0,118706	0,033186	0,062935	0,012825	0,128959	0,024196	0,054788	0,128054	0,141576	0,028610	0,073653	0,032129	0,014941	0,071135	0,033980	0,018510	0,103149	0,043192	0,128199	0,054822	0,186704	0,013517	0,006759	0,205285	0,013517	0,013517	0,006759	0,151024	0,124838	0,083896	0,071577	0,181830	0,087500	0,141437	0,124344	0,013517	0,086360	0,041625	0,020276	0,058107	0,145158	0,092297	0,164715	0,020276	0,044282	
monitor	0,994622	13	0,024582	0,145543	0,041830	0,025240	0,030962	0,017221	0,054259	0,036801	0,080787	0,011963	0,064067	0,115910	0,115218	0,034836	0,098365	0,065658	0,125468	0,050746	0,111438	0,024057	0,118419	0,032996	0,060171	0,012751	0,129248	0,024057	0,059913	0,126577	0,140249	0,027436	0,077700	0,031944	0,014855	0,074325	0,033784	0,018404	0,096873	0,050348	0,128033	0,052080	0,184824	0,013439	0,006720	0,203637	0,013439	0,013439	0,006720	0,148543	0,124204	0,087854	0,075310	0,181185	0,090532	0,139848	0,123166	0,013439	0,088718	0,040702	0,020159	0,055650	0,145375	0,087248	0,164292	0,020159	0,042521	
notebook	0,996448	14	0,024565	0,145494	0,040724	0,025221	0,030501	0,017208	0,051929	0,035838	0,076873	0,011954	0,068593	0,116342	0,115764	0,034811	0,099621	0,069367	0,128295	0,048513	0,114202	0,024039	0,119088	0,032972	0,057788	0,012742	0,128578	0,024039	0,057714	0,126821	0,140776	0,026433	0,074165	0,031921	0,014844	0,076918	0,033760	0,018391	0,091266	0,057060	0,128030	0,049677	0,183360	0,013430	0,006715	0,202411	0,013430	0,013430	0,006715	0,146475	0,123807	0,091650	0,078905	0,180820	0,093444	0,138602	0,122236	0,013430	0,091045	0,040006	0,020144	0,053540	0,145749	0,082781	0,164138	0,020144	0,041022	
notebook	0,999297	9	0,006369	0,150550	0,021023	0,006539	0,013235	0,004462	0,035571	0,018645	0,064710	0,003099	0,059490	0,122165	0,117406	0,009026	0,099889	0,062628	0,127596	0,033764	0,116452	0,006233	0,126394	0,008549	0,040802	0,003304	0,132840	0,006233	0,035753	0,133173	0,149020	0,016252	0,056645	0,008276	0,003849	0,075713	0,008753	0,004768	0,084956	0,037866	0,139284	0,037446	0,191118	0,003482	0,001741	0,209677	0,003482	0,003482	0,001741	0,150635	0,118409	0,084859	0,070764	0,193798	0,097815	0,140347	0,134177	0,003482	0,084190	0,018475	0,005223	0,041942	0,157592	0,069141	0,166000	0,005223	0,022627	
mouse	0,999171	10	0,006406	0,149255	0,019914	0,006577	0,012717	0,004487	0,033172	0,028257	0,060036	0,003117	0,055127	0,122607	0,122415	0,009077	0,092081	0,070826	0,117772	0,031463	0,107409	0,006268	0,131322	0,008598	0,051782	0,003323	0,137392	0,006268	0,033509	0,137665	0,146893	0,015236	0,052680	0,008324	0,003871	0,081298	0,008803	0,004796	0,088177	0,035354	0,139050	0,034820	0,192492	0,003502	0,001751	0,209592	0,003502	0,003502	0,001751	0,149739	0,109210	0,089351	0,076506	0,194769	0,103757	0,140352	0,137131	0,003502	0,088741	0,017677	0,005253	0,050030	0,158656	0,064079	0,163917	0,005253	0,021279	
