Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.999725	0.419384	0.0235767	0.00435808	0.764466	0.0992382	0.189587	250	0.4	0.505556	0.287037	0.261111	0.633333	0.25	0.35	0.511111	0.411111	0.35	0.588889	0.261111	0.172222	0.0888889
All	0.999209	0.243814	0.00458699	0.00225111	0.605458	0.0443176	0.236128	250	0.181481	0.251852	0.246296	0.433333	0.572222	0.227778	0.466667	0.711111	0.233333	0.366667	0.566667	0.305556	0.166667	0.138889
All	0.99988	0.360589	0.0772211	0.00269687	0.696085	0.0588609	0.986851	250	0.522222	0.435185	0.362963	0.161111	0.522222	0.283333	0.3	0.583333	0.333333	0.216667	0.805556	0.15	0.122222	0.0277778
All	0.999671	0.493129	0.0903091	0.031549	0.504327	0.00818383	0.432598	250	0.401852	0.348148	0.37963	0.311111	0.5	0.372222	0.3	0.466667	0.416667	0.433333	0.577778	0.4	0.144444	0.255556
All	0.999506	0.479745	0.0600459	0.00810261	0.642125	0.0416487	0.662939	250	0.331481	0.281481	0.381481	0.338889	0.388889	0.444444	0.311111	0.594444	0.311111	0.383333	0.627778	0.322222	0.188889	0.133333
All	0.999256	0.606788	0.0225955	0.00224219	0.208702	0.0938721	0.329365	250	0.255556	0.32037	0.359259	0.294444	0.477778	0.266667	0.322222	0.561111	0.311111	0.327778	0.555556	0.283333	0.161111	0.122222
All	0.999887	0.650623	0.0678419	0.027403	0.28578	0.0862987	0.132157	250	0.555556	0.422222	0.405556	0.255556	0.561111	0.227778	0.433333	0.572222	0.322222	0.305556	0.694444	0.172222	0.122222	0.05
All	0.999086	0.658696	0.00140814	4.35968e-05	0.19546	0.0579464	0.19295	250	0.142593	0.285185	0.309259	0.422222	0.6	0.266667	0.466667	0.705556	0.222222	0.383333	0.666667	0.227778	0.133333	0.0944444
All	0.999544	0.662683	0.00755815	0.00175011	0.126895	0.0437231	0.258657	250	0.305556	0.353704	0.305556	0.283333	0.505556	0.322222	0.377778	0.65	0.266667	0.294444	0.65	0.277778	0.183333	0.0944444
All	0.999101	0.0880373	0.0755854	0.0128615	0.602284	0.0981916	0.425968	250	0.338889	0.372222	0.368519	0.333333	0.472222	0.272222	0.333333	0.572222	0.316667	0.327778	0.55	0.372222	0.205556	0.166667
All	0.999897	0.537053	0.0982794	0.0215732	0.551247	0.0607164	0.0505685	250	0.531481	0.416667	0.42037	0.155556	0.638889	0.216667	0.472222	0.661111	0.272222	0.227778	0.677778	0.188889	0.155556	0.0333333
All	0.999818	0.236731	0.0457612	0.00996932	0.459165	0.0654503	0.804943	250	0.418519	0.485185	0.307407	0.166667	0.566667	0.194444	0.355556	0.65	0.316667	0.266667	0.627778	0.227778	0.138889	0.0888889
