Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.9998880	0.1420	0.0024	0.0010	0.7759	0.3757	0.9576	202.4440	0.8407	0.7593	0.5278	0.5111	0.4056	0.5889	0.4444	0.6556	0.1611	0.4778	0.6611	0.172222	0.122222	0.05
All	0.9999550	0.1086	0.2900	0.1395	0.1248	4.8228	0.1421	206.7820	0.9537	0.8444	0.7222	0.5444	0.3389	0.6444	0.6333	0.6944	0.3056	0.6056	0.8333	0.133333	0.0333333	0.1
All	0.9999210	0.1518	0.3851	0.1187	0.2319	4.7318	0.1853	210.1940	0.8963	0.6407	0.6481	0.2278	0.3056	0.6556	0.4278	0.7278	0.2667	0.5278	0.5667	0.427778	0.338889	0.0888889
All	0.9999280	0.0809	0.4290	0.2843	0.6894	2.7198	0.8644	206.5380	0.9167	0.5241	0.6167	0.2667	0.5500	0.4000	0.4556	0.7444	0.2167	0.4667	0.6111	0.316667	0.3	0.0166667
All	0.9999170	0.0296	0.6049	0.5441	0.2646	4.5924	0.5471	203.7330	0.6593	0.5889	0.5648	0.2389	0.6000	0.3556	0.4056	0.7556	0.1667	0.4333	0.6000	0.35	0.272222	0.0777778
All	0.9999200	0.0434	0.1077	0.0559	0.2108	2.3124	0.9174	204.0950	0.8537	0.7315	0.5593	0.3556	0.2222	0.7778	0.5500	0.8111	0.1778	0.4500	0.6556	0.338889	0.3	0.0388889
All	0.9999	0.0377	0.1763	0.1284	0.8388	2.4848	0.8006	213.9250	0.8796	0.5519	0.5296	0.2556	0.5889	0.3333	0.2944	0.6667	0.2778	0.3722	0.5056	0.288889	0.216667	0.0722222
All	1.0000	0.1396	0.3872	0.1962	0.6932	1.3197	0.2954	203.3910	0.9426	0.8444	0.7000	0.4611	0.3000	0.6556	0.5944	0.6722	0.3222	0.5111	0.8556	0.111111	0.0666667	0.0444444
All	0.9998	0.0199	0.4740	0.1209	0.9324	0.3353	0.5298	210.3760	0.5963	0.4963	0.3463	0.2333	0.6611	0.1889	0.2389	0.7167	0.1500	0.3389	0.7667	0.127778	0.0388889	0.0888889
All	0.9999	0.1507	0.1204	0.0511	0.7697	1.8123	0.9627	211.5000	0.8611	0.6852	0.5481	0.3444	0.3722	0.5111	0.4722	0.7111	0.2333	0.6111	0.6944	0.116667	0.111111	0.00555556
All	0.9998	0.1191	0.0737	0.0426	0.5746	4.7041	0.1526	201.4410	0.5833	0.6093	0.4722	0.1778	0.5889	0.3222	0.2167	0.8556	0.1167	0.4000	0.7278	0.188889	0.183333	0.00555556
All	1.0000	0.0798	0.6191	0.5221	0.7298	2.2985	0.4959	209.0400	0.5000	0.5444	0.4315	0.6000	0.1944	0.8056	0.7556	0.6500	0.3500	0.3667	0.7056	0.166667	0	0.166667
All	1.0000	0.1058	0.2534	0.1072	0.5943	1.4440	0.2282	212.6450	0.9426	0.8815	0.7685	0.6167	0.1278	0.8667	0.8889	0.7278	0.2722	0.6278	0.9000	0.1	0.0111111	0.0888889
All	0.9999	0.0630	0.1675	0.1034	0.8107	1.6205	0.7457	215.5950	0.7796	0.5593	0.4704	0.3611	0.5889	0.3222	0.2444	0.7222	0.1611	0.4111	0.5333	0.272222	0.227778	0.0444444
All	0.9999	0.1347	0.4906	0.3698	0.7106	4.6018	0.1071	200.2540	0.7704	0.5204	0.5315	0.1944	0.5167	0.4389	0.4278	0.7889	0.2056	0.4889	0.7056	0.194444	0.161111	0.0333333
All	0.999838	0.117164	0.279439	0.239821	0.14683	1.67579	0.949431	200.84	0.675926	0.531481	0.401852	0.2	0.411111	0.361111	0.216667	0.822222	0.116667	0.355556	0.727778	0.0833333	0.0777778	0.00555556
All	0.999831	0.105262	0.318193	0.218366	0.627946	3.35799	0.974291	212.067	0.677778	0.544444	0.390741	0.188889	0.338889	0.388889	0.205556	0.838889	0.111111	0.333333	0.838889	0.0666667	0.0611111	0.00555556
All	0.999954	0.192366	0.594619	0.363599	0.114046	3.4763	0.316077	204.577	0.751852	0.505556	0.5	0.366667	0.494444	0.5	0.444444	0.672222	0.272222	0.516667	0.672222	0.138889	0.133333	0.00555556
All	0.999926	0.0172663	0.1904	0.0746276	0.825158	3.50263	0.161504	214.417	0.87037	0.774074	0.603704	0.35	0.255556	0.744444	0.694444	0.788889	0.211111	0.527778	0.661111	0.322222	0.3	0.0222222
All	0.999932	0.0530911	0.19634	0.0476866	0.568932	1.14376	0.852426	203.974	0.825926	0.811111	0.674074	0.55	0.211111	0.777778	0.566667	0.816667	0.183333	0.65	0.761111	0.222222	0.2	0.0222222
All	0.999803	0.173814	0.029579	0.010841	0.481164	4.30618	0.577035	215.792	0.490741	0.609259	0.424074	0.316667	0.461111	0.455556	0.294444	0.622222	0.0888889	0.388889	0.761111	0.166667	0.127778	0.0388889
All	0.999932	0.08473	0.405767	0.162873	0.7376	4.24011	0.133035	207.049	0.942593	0.662963	0.603704	0.227778	0.405556	0.572222	0.405556	0.722222	0.277778	0.538889	0.666667	0.277778	0.255556	0.0222222
All	0.999952	0.112756	0.71986	0.248449	0.618941	0.163331	0.379353	200.929	0.698148	0.522222	0.466667	0.227778	0.488889	0.461111	0.4	0.688889	0.216667	0.422222	0.766667	0.222222	0.172222	0.05
All	0.999805	0.198533	0.28211	0.0570172	0.243916	1.02697	0.674461	206.638	0.661111	0.451852	0.342593	0.244444	0.522222	0.222222	0.266667	0.805556	0.0666667	0.294444	0.866667	0.0388889	0.0166667	0.0222222
All	0.999849	0.169088	0.656222	0.41793	0.46363	1.73612	0.808282	215.699	0.718519	0.544444	0.377778	0.211111	0.466667	0.316667	0.277778	0.805556	0.15	0.227778	0.75	0.144444	0.133333	0.0111111
All	0.999875	0.0333559	0.148878	0.10766	0.576685	0.731381	0.237997	203.876	0.72037	0.562963	0.503704	0.388889	0.466667	0.388889	0.238889	0.65	0.222222	0.383333	0.616667	0.222222	0.183333	0.0388889
All	0.99994	0.117764	0.631532	0.626134	0.0760083	4.52657	0.903728	202.906	0.533333	0.45	0.559259	0.227778	0.594444	0.394444	0.416667	0.655556	0.205556	0.455556	0.683333	0.211111	0.183333	0.0277778
All	0.999881	0.186833	0.600831	0.479283	0.00874505	1.48959	0.98392	206.301	0.644444	0.57037	0.47037	0.244444	0.516667	0.316667	0.266667	0.738889	0.238889	0.361111	0.533333	0.338889	0.305556	0.0333333
