Experiment: Trueswell2013-Exp1

refriger-N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
19-computer	J-24:	0.99995	1.00000	0.99978	0.99998	0.51887	0.45178	0.51036
18-cooker  	J-24:	0.99994	0.99979	0.99998	1.00000	0.45178	0.49707	0.52898
18-door    	J-24:	0.99994	0.99983	0.99993	0.99999	0.46592	0.48559	0.52586
18-fork    	J-24:	0.99991	0.99987	0.99977	0.99999	0.47165	0.48255	0.52386


bowl    -N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
21-bowl    	J-1:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
22-door    	J-1:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
22-canister	J-1:	0.99995	0.99979	1.00000	1.00000	0.44471	0.52662	0.52050
23-computer	J-1:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
22-desk    	J-1:	0.99997	0.99990	1.00000	0.99999	0.44090	0.53198	0.52039


bowl    -N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
21-bowl    	J-1:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
22-door    	J-1:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
23-computer	J-1:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
22-desk    	J-1:	0.99997	0.99990	1.00000	0.99999	0.44090	0.53198	0.52039
22-canister	J-1:	0.99995	0.99979	1.00000	1.00000	0.44471	0.52662	0.52050

First guess:	bowl

canister-N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
18-cooker  	J-27:	0.99993	0.99994	0.99974	0.99999	0.47076	0.47125	0.52928
18-fork    	J-27:	0.99992	0.99983	0.99993	0.99995	0.46697	0.48335	0.52630
18-canister	J-27:	0.99995	0.99987	0.99998	0.99997	0.47189	0.49735	0.51730
18-chair   	J-27:	0.99995	0.99984	0.99999	0.99999	0.46589	0.50780	0.51622
24-bowl    	J-27:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000


canister-N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
24-bowl    	J-27:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
18-chair   	J-27:	0.99995	0.99984	0.99999	0.99999	0.46589	0.50780	0.51622
18-canister	J-27:	0.99995	0.99987	0.99998	0.99997	0.47189	0.49735	0.51730
18-cooker  	J-27:	0.99993	0.99994	0.99974	0.99999	0.47076	0.47125	0.52928
18-fork    	J-27:	0.99992	0.99983	0.99993	0.99995	0.46697	0.48335	0.52630


clock   -N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
25-sofa    	J-30:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
25-refriger	J-30:	0.99992	0.99976	1.00000	0.99996	0.45878	0.53885	0.50705
26-clock   	J-30:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
25-fork    	J-30:	0.99991	0.99971	1.00000	0.99997	0.45975	0.53457	0.50826
26-bed     	J-30:	0.99993	0.99972	1.00000	1.00000	0.44912	0.52431	0.51882


clock   -N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
25-sofa    	J-30:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
26-clock   	J-30:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
26-bed     	J-30:	0.99993	0.99972	1.00000	1.00000	0.44912	0.52431	0.51882
25-refriger	J-30:	0.99992	0.99976	1.00000	0.99996	0.45878	0.53885	0.50705
25-fork    	J-30:	0.99991	0.99971	1.00000	0.99997	0.45975	0.53457	0.50826


fork    -N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
27-cooker  	J-10:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
28-sofa    	J-10:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
29-bowl    	J-10:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
27-chair   	J-10:	0.99991	0.99977	1.00000	0.99995	0.47357	0.53144	0.50172
27-fork    	J-10:	0.99994	0.99984	1.00000	0.99997	0.45775	0.54507	0.50485


fork    -N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
27-cooker  	J-10:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
28-sofa    	J-10:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
29-bowl    	J-10:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
27-fork    	J-10:	0.99994	0.99984	1.00000	0.99997	0.45775	0.54507	0.50485
27-chair   	J-10:	0.99991	0.99977	1.00000	0.99995	0.47357	0.53144	0.50172


Total correct:	2.00000	12	0.16667

First guess:	2
Last incorrect:	0	2.00000	0.00000
Last correct:	0	2.00000	0.00000
Total nodes: 31
Total contexts: 32

refriger-I:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
30-refriger	J-32:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
30-sofa    	J-32:	0.99994	0.99976	1.00000	1.00000	0.44673	0.52662	0.51933
31-cooker  	J-32:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
30-desk    	J-32:	0.99996	0.99987	1.00000	0.99999	0.44824	0.52839	0.51754
31-chair   	J-32:	0.99992	0.99977	1.00000	0.99996	0.47183	0.52968	0.50348


refriger-I:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
30-refriger	J-32:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
31-cooker  	J-32:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
30-desk    	J-32:	0.99996	0.99987	1.00000	0.99999	0.44824	0.52839	0.51754
30-sofa    	J-32:	0.99994	0.99976	1.00000	1.00000	0.44673	0.52662	0.51933
31-chair   	J-32:	0.99992	0.99977	1.00000	0.99996	0.47183	0.52968	0.50348


sofa    -I:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
3-clock   	J-3:	0.99998	1.00000	1.00000	0.99995	0.52240	0.52905	0.47501
32-computer	J-3:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
3-chair   	J-3:	0.99992	0.99978	1.00000	0.99995	0.48010	0.53390	0.49687
2-sofa    	J-3:	0.99992	0.99977	1.00000	0.99996	0.45731	0.53698	0.50863
3-fork    	J-3:	0.99993	0.99981	1.00000	0.99996	0.46504	0.54299	0.50166


sofa    -I:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
32-computer	J-3:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
3-clock   	J-3:	0.99998	1.00000	1.00000	0.99995	0.52240	0.52905	0.47501
3-fork    	J-3:	0.99993	0.99981	1.00000	0.99996	0.46504	0.54299	0.50166
2-sofa    	J-3:	0.99992	0.99977	1.00000	0.99996	0.45731	0.53698	0.50863
3-chair   	J-3:	0.99992	0.99978	1.00000	0.99995	0.48010	0.53390	0.49687


door    -I:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
4-door    	J-18:	0.99993	0.99978	1.00000	0.99998	0.45710	0.52647	0.51330
5-refriger	J-18:	0.99996	0.99993	1.00000	0.99996	0.45273	0.54014	0.50997
7-bowl    	J-18:	0.99997	1.00000	1.00000	0.99993	0.52431	0.53081	0.47313
6-clock   	J-18:	0.99998	1.00000	1.00000	0.99996	0.51173	0.52092	0.48465
5-desk    	J-18:	0.99997	0.99991	1.00000	0.99999	0.44395	0.54214	0.51411


door    -I:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
6-clock   	J-18:	0.99998	1.00000	1.00000	0.99996	0.51173	0.52092	0.48465
5-desk    	J-18:	0.99997	0.99991	1.00000	0.99999	0.44395	0.54214	0.51411
7-bowl    	J-18:	0.99997	1.00000	1.00000	0.99993	0.52431	0.53081	0.47313
5-refriger	J-18:	0.99996	0.99993	1.00000	0.99996	0.45273	0.54014	0.50997
4-door    	J-18:	0.99993	0.99978	1.00000	0.99998	0.45710	0.52647	0.51330


